All Players Year to Date MLB Pitcher_import Categories
Avail,Player,MLB,Eligible,Rank,
Wrigleyville Fielders,Yoshinobu Yamamoto SP | LAD,A,SP,1
W ( 3/27),Landon Knack SP | LAD ,A,SP,2
Midlothian DeadHeads,Tanner Scott RP | LAD,A,RP,3
Centreville Blue Sox,Shota Imanaga SP | CHC ,A,SP,4
W ( 3/27),Blake Treinen RP | LAD,A,RP,5
W ( 3/27),Alex Vesia RP | LAD ,A,RP,6
W ( 3/27),Anthony Banda RP | LAD,A,RP,7
W ( 3/27),Ben Casparius RP | LAD,A,RP,7
W ( 3/27),Caleb Thielbar RP | CHC,A,RP,7
W ( 3/27),Elijah Morgan RP | CHC ,A,RP,10
W ( 3/27),Kirby Yates RP | LAD,A,RP,11
Centreville Blue Sox,Porter Hodge RP | CHC ,A,RP,12
Midlothian DeadHeads,"Shohei Ohtani DH,SP,U | LAD ",A,"DH,SP,U",13
W ( 3/27),Nate Pearson RP | CHC,A,RP,15
East Carolina Bucs,Roki Sasaki SP | LAD ,A,SP,16
W ( 3/27),Julian Merryweather RP | CHC,A,RP,17
Iowa Cubs,Ryan Pressly RP | CHC,A,RP,17
W ( 3/27),Jack Dreyer RP | LAD,A,RP,19
Northern Virginia River Rats,Luis Garcia RP | LAD,A,RP,20
W ( 3/27),"Ryan Brasier RP,SP | CHC ",A,"RP,SP",21
Levittown Panthers,"Ben Brown RP,SP | CHC ",A,"RP,SP",25
Southern Playaz,Justin Steele SP | CHC ,A,SP,26
W ( 3/27),Jacob Evans RP | STL,M,RP,9999
W ( 3/27),Mason Denaburg SP | WAS,M,SP,9999
W ( 3/27),Jack Anderson RP | SEA,M,RP,9999
W ( 3/27),Cesar Gomez RP | HOU,M,RP,9999
W ( 3/27),Chase Johnson RP | SD,M,RP,9999
W ( 3/27),Marcel Renteria RP | NYM,M,RP,9999
W ( 3/27),Jose Alberto Molina RP | LAA,M,RP,9999
W ( 3/27),Bradgley Rodriguez RP | SD,M,RP,9999
Northern Virginia River Rats,Daniel Espino SP | CLE ,M,SP,9999
W ( 3/27),Austin Vernon RP | TB,M,RP,9999
W ( 3/27),John Omahen SP | ARI,M,SP,9999
W ( 3/27),Joey Krehbiel RP | TB,M,RP,9999
W ( 3/27),Russell Smith SP | MIL,M,SP,9999
W ( 3/27),Billy Lescher RP | DET,M,RP,9999
W ( 3/27),Miguel Mejia RP | CHC,M,RP,9999
W ( 3/27),Trey Nielsen SP | STL,M,SP,9999
W ( 3/27),Ryan Harbin RP | PIT,M,RP,9999
W ( 3/27),Shane Broyles RP | COL,M,RP,9999
W ( 3/27),Johan Dominguez RP | CHW,M,RP,9999
W ( 3/27),Santiago Florez SP | PIT,M,SP,9999
W ( 3/27),Mauricio Llovera RP | SEA,A,RP,9999
W ( 3/27),Chance Huff RP | WAS,M,RP,9999
W ( 3/27),Colin Poche RP | WAS ,A,RP,9999
W ( 3/27),Kelvin Ramirez RP | LAD,M,RP,9999
W ( 3/27),Zach Agnos RP | COL,M,RP,9999
W ( 3/27),Giovanny Gallegos RP | LAD,M,RP,9999
W ( 3/27),Luis Moreno SP | NYM,M,SP,9999
W ( 3/27),Drew Strotman SP | HOU,M,SP,9999
W ( 3/27),Teddy Stankiewicz SP | BOS,M,SP,9999
W ( 3/27),Wilking Rodriguez RP | NYY,M,RP,9999
W ( 3/27),Trey McLoughlin RP | NYM,M,RP,9999
W ( 3/27),Ty Cummings RP | SEA,M,RP,9999
W ( 3/27),Yunior Marte RP | PHI,A,RP,9999
W ( 3/27),Braylon Doughty SP | CLE,M,SP,9999
W ( 3/27),Pedro Vasquez RP | PIT,M,RP,9999
W ( 3/27),Justin Garza RP | LAA,A,RP,9999
W ( 3/27),Jake Cosart RP | BOS,M,RP,9999
W ( 3/27),Carl Edwards RP | SD ,A,RP,9999
W ( 3/27),Adrian Santana RP | CHC,M,RP,9999
W ( 3/27),Dakota Donovan RP | LAA,M,RP,9999
W ( 3/27),Joey Lucchesi SP | SF,M,SP,9999
W ( 3/27),Daniel Harper RP | PHI,M,RP,9999
W ( 3/27),Mychal Givens RP | MIA,M,RP,9999
Lewisberg All Blacks,Edwin Diaz RP | NYM ,A,RP,9999
W ( 3/27),Francis Pena RP | SD,M,RP,9999
W ( 3/27),"Tyler Holton RP,SP | DET",A,"RP,SP",9999
W ( 3/27),Brandon S. White RP | ATL,M,RP,9999
W ( 3/27),Trevor Stephan RP | CLE ,A,RP,9999
W ( 3/27),Jose Acuna SP | CIN,M,SP,9999
W ( 3/27),Jimmy Yacabonis RP | NYM,A,RP,9999
W ( 3/27),Dauri Moreta RP | PIT ,IL,RP,9999
W ( 3/27),Trey Gibson SP | BAL,M,SP,9999
W ( 3/27),Johan Yan RP | TEX,M,RP,9999
W ( 3/27),Reid Schaller SP | WAS,M,SP,9999
W ( 3/27),Brandyn Garcia SP | SEA,M,SP,9999
W ( 3/27),Easton Lucas RP | TOR,M,RP,9999
W ( 3/27),Sam Bragg RP | ATH,M,RP,9999
W ( 3/27),Gustavo Armas RP | PHI,M,RP,9999
W ( 3/27),Jordan Mikel RP | CHW,M,RP,9999
W ( 3/27),Bill Sullivan RP | ATH,M,RP,9999
W ( 3/27),Dylan Bundy SP | NYM,M,SP,9999
W ( 3/27),Austin Drury RP | LAD,M,RP,9999
W ( 3/27),Nelson Alvarez RP | PHI,M,RP,9999
Lewisberg All Blacks,Jacob deGrom SP | TEX ,A,SP,9999
W ( 3/27),Gregory Soto RP | BAL,A,RP,9999
W ( 3/27),Jonah Dipoto RP | PHI,M,RP,9999
W ( 3/27),Joey Estes SP | ATH ,A,SP,9999
W ( 3/27),Josh Randall SP | DET,M,SP,9999
W ( 3/27),Rico Garcia RP | NYM,M,RP,9999
W ( 3/27),Andrew Barbosa SP | MIL,M,SP,9999
W ( 3/27),Zach Swanson SP | DET,M,SP,9999
Northern Virginia River Rats,Zack Littell SP | TB,A,SP,9999
W ( 3/27),Carter Holton SP | ATL ,M,SP,9999
W ( 3/27),Zach Daniels RP | ATL,M,RP,9999
W ( 3/27),Austin Franklin SP | TB,M,SP,9999
W ( 3/27),Andrew Bash SP | TOR,M,SP,9999
W ( 3/27),Nate Tellier RP | BOS,M,RP,9999
W ( 3/27),Josh Hejka RP | PHI,M,RP,9999
W ( 3/27),Gabe Mosser RP | PHI,M,RP,9999
W ( 3/27),Jacob Webb RP | ARI,M,RP,9999
W ( 3/27),Josh Uhen RP | MIL,M,RP,9999
W ( 3/27),Chavez Fernander RP | DET,M,RP,9999
W ( 3/27),Chris Roycroft RP | STL,A,RP,9999
W ( 3/27),Geno Encina RP | TOR,M,RP,9999
W ( 3/27),Diego Castillo RP | COL,M,RP,9999
W ( 3/27),Mason Englert RP | TB,A,RP,9999
W ( 3/27),Sean Donatello RP | MIA,M,RP,9999
W ( 3/27),Craig Kimbrel RP | ATL ,M,RP,9999
