Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
1,1,Wander Franco,TBR,SS,MLB,2022,80,Med,,21.0416666,"5' 10""",190,S,R,2017,J2,TBR,3825000,Dominican Republic,"Franco spent 2020 at the alternate site and then played just five games for Escogido in the Dominican Winter League before he was shut down due to biceps soreness, which had clearly affected his throwing, as he short-hopped several throws to first base on routine plays. It's not expected to be a long-term issue, and Franco himself wanted to rest and return to action for Escogido (the left side of los Leones infield would have been him and Vladimir Guerrero Jr.), but the Rays prevented it as a precaution. I suppose there's some chance that this issue, combined with the presence of other good shortstops in the org like Willy Adames and Taylor Walls (assuming either or both aren't traded) creates a heightened chance that Franco debuts in the big leagues as a second baseman, but even if we knew that was going to be the case, he'd still easily be the best prospect in baseball. 
In fact, last year Franco became the first 80 FV prospect of the Future Value era at FanGraphs, the best prospect on the planet, and the best I've evaluated during my tenure here at the site. Recall Franco's statistical track record, which is better than Vladdy's was at the same age and levels: He has played 175 career games, all at levels well above what is typical for a player his age (he doesn't turn 20 until March). During those games, he hit .336/.405/.523 with 71 extra-base hits, 20 steals, and more walks than strikeouts. In fact, across two levels in 2019, Low- and Hi-A, Franco not only walked more than he struck out, but walked about <em>twice</em> as much. He has one of the lowest swinging strike rates in the minor leagues at a paltry 4.8%. Franco's short levers and lightning-quick wrists make it nearly impossible to beat him with velocity, especially on the inner half. He is also especially adept at spoiling well-located back-foot breaking balls, and if you miss with one and catch even part of the zone, he can drop the bat head and yank it out to his pull side. Work away from him and he'll extend his arms and pepper the opposite field gap with line drives, then use his speed to turn lots of those into doubles. He has impressive raw juice in BP, which he shows off because he makes such consistent contact (his 2019 Futures Game BP was better than Jo Adell's and Nolan Jones' even though those guys have bigger raw power), but it's possible Franco's in-game power hasn't fully actualized yet because he still hits the ball on the ground a lot (48% in 2019, with just a 9 degree average launch angle). And yet he's still slugging like a physically mature Quad-A hitter. How about the TrackMan data? Franco's exit velos and hard hit rate (which are on The Board) are both above the big league average, which is ridiculous for a teenager who's playing against competition four and a half years older than he is. 
He might not ever produce huge home run totals without a swing change (someone told me, ""If that's true, then imagine a Michael Brantley-type of hitter who switch-hits and plays shortstop""), but it'd be ridiculous to alter this guy's swing considering how elite his performance has been, and I think the elite bat-to-ball skills will enable him to hit for more game power than his raw.  Franco has been the best player his age on the planet since he was 14 years old. He looks like, and has performed like, a generational talent and annual MVP contender. <em>(Alternate site, LIDOM)</em>",OsxMtDgMaI0,23667
3,2,Randy Arozarena,TBR,LF,MLB,2021,60,Low,,27.0444444,"5' 11""",200,R,R,2016,J2,STL,1250000,Cuba,"Yes, Arozarena was on last year's pre-season Top 100 but he was evaluated as a well-rounded, tough-nosed everyday player rather than someone with impact power, which he developed by doing push ups all day in his hotel room during a COVID-19 quarantine. I think this is a real, relevant change and helped drive his debut season's triple slash line, a star-like .281/.382/.641 in the regular season and God-like .500/.538/1.042 in the playoffs. A pertinent data point here is Arozarena’s max exit velo, which was 109 mph in 2019 and moved up to 113 mph in 2020. This is a measurable change in physical ability, the reason for which is well-publicized and which is supported by a visual evaluation of Arozarena’s physicality. And I’m not too worried about the sudden uptick in his strikeout rate because it not only occurred in a small sample but is way above his career norm of 18.5% (I'm avoiding recency bias), and the circumstances surrounding it (Arozarena rolled out of quarantine bed and faced big league pitching for the longest stretch of his life) are odd. We also got our first glimpse of how opponents are going to pitch to Arozarena now that he's a certified masher, and I think that his walk rate and OBP are both going to take a pretty serious leap. His newfound physique might also bring about a change to his approach to contact (this guy once looked like a leadoff hitter) as he continues to get a feel for what it's like to have this much juice, but I'm not sure how that will manifest on the field. I think the added weight has made him a worse defender and now have a 40 on him in left field, not that it matters. He's likely to anchor the middle of the Rays order for the next half decade. It should be noted that Arozarena was involved in an altercation related to a custody dispute this offseason; he was released from custody after his former partner declined to press charges. <em>(Alternate site, MLB)</em>",4VdQSUbzmz8,19290
3,1,Jarred Kelenic,SEA,RF,MLB,2021,60,Med,,22.6666666,"6' 1""",190,L,L,2018,Draft,NYM,4500000,Waukesha West HS (WI),"Kelenic entered 2020 coming off a season during which he traversed three levels and reached Double-A at age 20 while hitting .291/.364/.540 with 23 dingers and 20 steals despite wrist and ankle injuries. He got regular big league at-bats during spring training ahead of the shutdown, then had some very high-profile homers during summer camp and at the alternate site, which you probably already know because the Mariners' prospect PR machine is very strong (maybe too strong for the club's own good). I wrote last year that even though Kelenic had become a maxed-out beefcake, it hadn't detracted from his ability to play a fringe center field. More recent looks indicate that is no longer the case. During several spring looks he failed to make plays on balls that I'd expect an average center fielder to make, especially fly balls in the gap that ideally your center fielder runs down. Kelenic's size at his age may eventually push him to the 1B/DH realm, or at least cause him to slow down and be below-average in an outfield corner. 
I don't think it matters. Kelenic rakes. His feel for contact, strength, and mature approach combine to make him a lethal offensive threat. He is short to the ball with power and can rip his top hand through to catch fastballs at the top of the zone, which bodes well for him against a pitching population that is working up there with increasing frequency. His short levers help him get to velocity on the inner half, and his swing path also enables him to get extended and put balls away from him in the opposite field gap. He's been the among the most polished hitters his age since he was 15 and has a track record of statistical success dating back to his underclass high school days -- he's just added upwards of 30 pounds of muscle to that foundation of skill. He's the most stable of the 60 FV prospects and likely to make an immediate impact now that he's on the major league roster. <em>(Alternate site)</em>",LFdX2RZaB64,22558
6,1,Ke'Bryan Hayes,PIT,3B,MLB,2021,60,Low,,25.1333333,"6' 1""",210,R,R,2015,Draft,PIT,1800000,Concordia Lutheran HS (TX),"We now have a reasonably-sized big league sample with which to help us answer the question of whether Hayes will be merely very good, or will hit for enough in-game power to have a Scott Rolen-ish career. The data does some pushing and pulling. In about a month, Hayes hit a whopping .376/.442/.682, ranked fourth among all hitters with a 195 wRC+, and led all NL rookies with 1.7 WAR even though he only played in 24 games. And Hayes was hitting the ball hard. His big league average exit velocity (just shy of 93 mph) and HardHit% (55%) were both above what he posted in the 2019 minors (91 mph, 48%) when he only hit 10 homers over a 100 games. But his .450 BABIP is unsustainable and, per Statcast, his xwOBA (.356) came in well below his actual wOBA (.464), indicating that he was also the beneficiary of some luck. There's no accounting for how big league pitching might expose a weakness and begin to adjust to Hayes, even if it's just to limit his power output rather than get him out. But his approach is responsive enough that I think he'll target pitches he can drive and do enough damage to, when coupled with his world-class defense at third base, make him a multi-time All-Star. <em>(Alternate Site, MLB)</em>",o76lKnW1nX0,18577
11,3,Luis Patiño,TBR,SP,MLB,2021,60,High,,22.3888888,"6' 0""",192,R,R,2016,J2,SDP,120000,Colombia,"Even though I don't share it, I think it's fair to say Patiño's 2020 debut reinforced the doubt that some front office personnel have expressed each of the last two offseasons about his ability to start. Some of that doubt is the result of his size (I specifically don't have these concerns), while the rest is the result of his sub-par control/command. Indeed Patiño's BB/9 rose as he was promoted to each of his previous four minor league levels, culminating in a gnarly 16.5% walk rate during a small 2020 big league sample. For someone as short as Patiño is, his arm swing is actually quite long, and his tactile feel for release has seemingly regressed as he's gotten more muscular. But remember that this is one of the better on-mound athletes in the minors, who is still only the age of a college prospect, and who hasn't had elite velocity for very long. Since he signed, Patiño has gained about 40 pounds and added about 10 ticks of fastball velocity. More important context: Patiño is a converted infielder who has only been focused on pitching for about five years, and one of those was seriously disrupted by the pandemic. Certainly Patiño needs to find more mechanical consistency and his fastball location needs to move north. Plus, his changeup feel is still quite raw. But if this guy were at LSU or UCLA, we'd be talking about him as the odds-on favorite to go number one overall in this year's draft. I still project Patiño as a multi-time All-Star starter. <em>(Alternate site, MLB)</em>",k11tj7Ee2qs,22815
11,1,Brandon Marsh,LAA,CF,MLB,2021,60,Med,,24.2444444,"6' 2""",215,L,R,2016,Draft,LAA,1073300,Buford HS (GA),"After long-struggling to generate impact game power despite obvious raw juice, Marsh appeared to make a swing change that first became evident to me during the 2019 Fall League, though we've yet to have a sufficiently large sample of results to see if that's true and if so, exactly how meaningful it will be. In the AFL, Marsh's hands loaded a little farther out from his body and he had what some scouts called a ""wrap"" or ""power tip,"" where the bat head is angled toward the mound a bit, setting up more of a loop than a direct path to the ball. I thought he lifted the ball better during that six week stretch and did so without compromising his strong feel for contact. But the lost 2020 season (even if I sourced launch angle data from the alt site, guys were facing the same pitchers over and over again, so I just don't think it's meaningful) and Marsh's ongoing shoulder issues (he had a labrum injury in 2020 that barked at him again early this year) have prevented us from getting a clear idea of this change's impact because his contact quality has been poor this year. 
Marsh has a great first step in center and has fantastic gap-to-gap range. He has struggled to close the deal on fly balls approaching the wall this year, dropping several catchable though not routine balls (they're only catchable because his range is so good). All of this has occurred amid off-field adversity (Marsh's father recently passed away; Fabian Ardaya of <em>The Athletic</em> wrote about Marsh's dad, their relationship, and his father's several bouts with cancer late in 2019) and a nagging injury. I suppose one could argue that the persistence of the injury itself is value-altering but for now I'm not inclined to come off of Marsh at all. I worry that this year will be a struggle because of the chaotic nature of his world for the past couple of years, but ultimately I see a well-rounded player who's going to reach base and hit for power at above-average rates while also playing plus defense at a premium position. There are All-Star-level tools here and a contact/OBP performance foundation to fall back on even if I'm wrong about the swing finally being dialed in.",f6w57ie4WkA,20202
12,2,Ian Anderson,ATL,SP,MLB,2021,60,Med,,23.8722222,"6' 3""",170,R,R,2016,Draft,ATL,4000000,Shenendowa HS (NY),"Anderson made a half-dozen regular season starts in 2020 and while he had some strike-throwing hiccups throughout, he struck out a ton of big league hitters and was nails when the lights were brightest in October. Everything he throws comes out of a very deceptive overhand slot that makes it difficult for hitters to parse his curveball from his fastball, and Anderson knows how to use each to set the other one up for a finishing blow. But Anderson's best weapon is his changeup, which has a lethal combination of tail and dive. He's no sniper, but Anderson can throw all three pitches for strikes and induce chases with all of them. He's a high-probability mid-rotation starter and is likely to graduate from rookie status just a few weeks into the 2021 season. <em>(Alternate site, MLB)</em>",tgygzB4auuw,19951
12,3,Matt Manning,DET,SP,AAA,2021,60,High,,24.1333333,"6' 6""",215,R,R,2016,Draft,DET,3505800,Sheldon HS (CA),"A large part of the reason Manning ranked first on last year's Tigers list was because he had neither Casey Mize's injury red flags nor Tarik Skubal's relief risk. Then in late August, he was shut down with a forearm strain, the first real blemish on what had been an immaculate track record of arm health (his 2018 IL stint was due to an oblique injury). Manning has publicly downplayed the severity of that injury and has been healthy and throwing all offseason without issue. We'd rather he have been totally healthy, but this injury doesn't seem severe enough to alter his stock. 
All of the physical components that many front-end arms have while they're in high school were present when Manning was an amateur -- shooting guard frame, premium arm strength and athleticism, a breaking ball -- and remain so today. He has pretty good feel for location and balance for a young 6-foot-6 guy who takes such a gargantuan stride off the mound, and that should continue improving with time and reps. Manning starts on the extreme first base side of the rubber and has a cross-bodied, drop-and-drive style delivery that creates flat angle on his fastball, which gets on hitters quickly. And Manning goes right at hitters with that fastball (60% in-zone rate in 2019), which has the cut/carry traits typical of a power pitcher's fastball. His arm slot is much different now than it was in high school, a testament to Detroit's dev group and Manning's ability to make adjustments without a drop off in on-field performance. Since entering pro ball, his walks have come down, Manning's changeup has gotten better, and he started working with two different fastballs and was clearly manipulating the shape of his spike curveball depending on the hitter and situation in 2019. Now he's working on a second breaking ball. Assuming the forearm issues are behind him, Manning has front-end starter ceiling and will likely make his big league debut in 2021. <em>(Alternate site)</em>",k-sipbEctAU,20369
13,1,Andrew Vaughn,CHW,1B,MLB,2021,60,Low,,23.9527777,"5' 11""",215,R,R,2019,Draft,CHW,7200000,Cal,"Vaughn spent 2020 at the unscoutable alternate site, but his most telling at-bats were all very visible as they're the ones he took off big league pitching, first during spring training and then during Chicago's intrasquad preparation for the season. He hit .259/.394/.444 in the spring off of admittedly diluted pitching, then grinded out long, tough at-bats during the summer tune-up against a staff that would turn out to be quite good. He's also one of the more decorated college hitters ever, slashing .374/.495/.688 at Cal. 
He's very likely to clear the high offensive bar at first base. He's not a great feet-and-hands athlete on the infield but Vaughn's swing is pretty athletic, and sweet. He doesn't chase and seems to have a narrow early-count approach focused on pitches he can crush. He's less able to damage well-executed breaking stuff away from him, but he often spoils those pitches or puts them in play and, again, typically doesn't offer at them until he has to. There's a clearer path to the big leagues for Vaughn now that Edwin Encarnacion and Nomar Mazara are no longer on the roster (I talk more about this in the System Overview), and he'll likely play in the big leagues in 2021. He continues to project as an All-Star first baseman. <em>(Alternate site)</em>",cPv9SsBcKQk,26197
15,1,Dylan Carlson,STL,LF,AAA,2021,60,Med,,23.3972222,"6' 3""",210,S,L,2016,Draft,STL,1350000,Elk Grove HS (CA),"Carlson is balanced and coordinated while hitting from both sides of the plate, his left-handed swing has gorgeous lift and finish, and he has advanced bat control and rare on-field poise for a switch-hitter his age. He's also athletic and moves well for his size. I still have some questions about his ultimate upside because I think he's much more likely to end up in left field than in center. His instincts in center are okay, but I don't think he has the long speed that is typical at the position. His 2019 minor league TrackMan data indicates his statline from that year was a bit of a caricature, but his Savant page indicates the opposite with regard to his 2020 debut struggles. I wonder if pro models have been overrating Carlson due to his age because even though he's only the age of a college bat, he doesn't have the physical projection you'd expect of a hitter that age. Of course, it's not like Juan Soto still has physical projection, either. The league-average offensive production in left field has been lower than you might expect (good for a 100 wRC+ over the last five years) and Carlson might also be able to play a situational center when the Cards are behind and need offense, as well as some first base. That versatility is valuable icing on a switch-hitting cake. Carlson projects as a well-rounded switch-hitter with excellent feel for the strike zone. <em>(Alternate site, MLB)</em>",5Qo_OiBtqnA,20126
